Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-12-11 18:36:07,2019-12-11 18:36:10,3.179s,FAILED
,,,,,,,
Test Cases/Login/Test3,,,,2019-12-11 18:36:07,2019-12-11 18:36:10,2.635s,FAILED
Start listener action : onTestCaseStart,,,,2019-12-11 18:36:07,2019-12-11 18:36:07,0.002s,PASSED
"openBrowser(""http://lifecharger.org/"")",,,,2019-12-11 18:36:08,2019-12-11 18:36:10,2.143s,FAILED
"click(findTestObject(""Object Repository/Test3_OR/h2_Make the rest of your life the best of your life""))",,,,2019-12-11 18:36:10,2019-12-11 18:36:10,0.082s,FAILED
"setText(findTestObject(""Object Repository/Test3_OR/input_Search for_s""), ""life"")",,,,2019-12-11 18:36:10,2019-12-11 18:36:10,0.078s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Test3_OR/a_Home""), 4)",,,,2019-12-11 18:36:10,2019-12-11 18:36:10,0.084s,FAILED
closeBrowser(),,,,2019-12-11 18:36:10,2019-12-11 18:36:10,0.013s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-11 18:36:10,2019-12-11 18:36:10,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-11 18:36:10,2019-12-11 18:36:10,0.005s,PASSED
